heading,news_description,page_link,place,time_stamp
"Model Tenancy Act is a model Act, says Puri"," Housing and Urban Affairs Minister Hardeep Puri on Wednesday addressed concerns about the Model Tenancy Act, reiterating that it was a “model Act” and that it would have to be passed by the States. Mr. Puri was responding to concerns in Maharashtra that the Act would lead to a spike in rent for those living in rent-controlled buildings. The model Act, however, will be applicable to future agreements and not to existing ones. “Rumours are being spread in Maharashtra about the Model Tenancy Act 2021…People should first read the Act before resorting to fake narratives. It is a Model Act. Legislation has to be passed by the state,” Mr. Puri said in a tweet, sharing the video of his media interaction about the Act on June 3. ",https://www.thehindu.com/news/national/model-tenancy-act-is-a-model-act-says-puri/article34927194.ece,NEW DELHI,"June 23, 2021 16:36 IST"
Cabinet approves additional foodgrain till November,"The Union Cabinet on Wednesday approved the allocation of additional foodgrain to beneficiaries of the National Food Security Act (NFSA) for another five months- from July to November. The Cabinet, at a meeting chaired by Prime Minister Narendra Modi, approved the proposal to continue allocating  under the Pradhan Mantri Garib Kalyan Yojana to the 81.35 crore beneficiaries, a government statement said. The additional foodgrain would entail a subsidy of ₹64,031 crore, it noted. “As Government of India is bearing the entire expenditure towards this scheme without any contribution by States/UTs, an additional expenditure of about ₹3,234.85 crore would be required to be met towards transportation and handling and FPS dealers’ margins etc. by Government of India. Thus, the total estimated expenditure to be borne by Government of India will be ₹67,266.44 crore,” it stated. The total amount of foodgrain to be distributed was estimated to be 204 lakh metric tonnes. “Additional allocation will ameliorate the hardships faced by poor due to economic disruption caused by coronavirus. No poor family will suffer on account of non-availability of food-grains due to disruption in the next five months,” it added. ",https://www.thehindu.com/news/national/cabinet-approves-additional-foodgrain-till-november/article34927140.ece,NEW DELHI,"June 23, 2021 16:33 IST"
"ED transfers assets of Vijay Mallya, Nirav Modi, Mehul Choksi worth ₹8,441.50 cr. to banks","The has transferred assets worth ₹8,441.50 crore to public sector banks that suffered losses to the tune of ₹22,585.83 crore due to frauds committed allegedly by , and . All three accused had fled overseas. The agency said it recently transferred attached shares worth ₹6,600 crore to a State Bank of India-led consortium as per an order of PMLA Special Court, Mumbai. On Wednesday, the Debt Recovery Tribunal, on behalf of the consortium, sold the shares of United Breweries Limited for ₹5,824.50 crore. Further realisation of ₹800 crore by sale of shares is expected by June 25. Owing to the help extended by the ED, the public sector banks had earlier recovered ₹1,357 crore by selling the shares. “Thus, the banks shall be realising a total amount of ₹9,041.50 crore through sale of a part of the assets attached/seized by the ED...,” said the agency. As on date, of the total attachment worth ₹18,170.02 crore, assets valued ₹329.67 crore have been confiscated and properties worth ₹9,041.50 crore — amounting to 40% of the total loss to the banks — have been handed over to them. Based on the cases registered by the Central Bureau of Investigation, the ED had taken up money laundering probe that helped unearth a complex web of domestic and international transactions and stashing of assets abroad by the accused persons and their associates. They had used dummy entities controlled by them for rotation and siphoning of the funds provided by the banks. As part of the investigation, the ED took steps to attach or seize assets worth ₹18,170.02 crore, which included properties worth ₹969 crore located in foreign countries. “The quantum of the attached and seized assets represents 80.45% of total bank loss of ₹ 22,585.83 crore,” said the agency. A substantial part of the assets in question was held in the name of dummy entities, trusts, third persons or relatives of these accused and these entities were their proxies for holding the properties. Prosecution complaints were filed against all the three accused after completion of the investigation under the . Extradition requests were sent for them to the United Kingdom (Mr. Mallya and Mr. Modi) and Antigua and Barbuda (Mr. Choksi). The extradition of Mr. Mallya has been ordered by the Westminster Magistrates Court and confirmed by the U.K. High Court. As he has been denied permission to file an appeal in the U.K. Supreme Court, his extradition to India has become final. However, the matter is pending with the U.K.'s Home Department for quite some time now. The Westminster Magistrates Court had also ordered the . After his arrest in 2019, on a request from the Indian authorities, he has been in judicial custody in a London jail for the last over two years. Mr. Choksi, who was recently after he disappeared from Antigua under mysterious circumstances, is also facing extradition proceedings. He has alleged that he was abducted by some persons. ",https://www.thehindu.com/news/national/ed-transfers-assets-of-vijay-mallya-nirav-modi-mehul-choksi-worth-844150-cr-to-banks/article34922424.ece,NEW DELHI: ,"June 23, 2021 12:17 IST"
India proud of its Olympians' contributions to sports: PM Modi,"On the occasion of Olympic Day on Wednesday,  said India is proud of the contributions of athletes who have represented the country at the Olympics over the years to sports. Olympic Day is a global celebration of the founding of the International Olympic Committee and the modern Olympic movement, encouraging participation in sports. In a tweet, Mr. Modi said, ""Today, on Olympic Day, I appreciate all those who have represented India in various Olympics over the years. Our nation is proud of their contributions to sports and their efforts towards motivating other athletes.""",https://www.thehindu.com/news/national/india-proud-of-its-olympians-contributions-to-sports-pm-modi/article34921140.ece,New Delhi,"June 23, 2021 09:38 IST"
BJP got 76% of donations to parties by electoral trusts: ADR,"Over 76% of donations made by electoral trusts that submitted their annual reports for 2019-2020 to the Election Commission and declared to have received funding went to the Bharatiya Janata Party (BJP), an Association for Democratic Reforms (ADR) report said on Wednesday. Out of the 21 registered trusts, 14 submitted their annual reports to the EC and seven of those declared that they had received funds that were then given to parties, the ADR report said. The seven electoral trusts that were analysed received a total of ₹363.51 crore from various corporates and individuals. The trusts gave a total of ₹362.91 crore to political parties, the ADR report said. While the BJP got the largest share, the Congress received ₹31 crore, followed by the Aam Aadmi Party with ₹11.26 crore. Prudent Electoral Trust contributed ₹271.5 crore, Jankalyan Electoral Trust gave ₹70.95 crore and AB General Electoral Trust ₹10 crore. “JSW Steel Ltd. contributed the highest amount worth ₹39.10 crore amongst all donors of the electoral trusts, followed by Apollo Tyres Ltd. with ₹ 30 crore and Indiabulls Infraestate Ltd. which contributed ₹ 25 crore, to various trusts,” the report said. It added that Paribartan Electoral Trust declared ₹3 crore donation to a party through electoral bonds, but the name of the party was not mentioned. The ADR observed that with half the trusts that submitted their annual reports declaring nil contributions, it raised a question over the continued registration of such electoral trusts. ",https://www.thehindu.com/news/national/bjp-got-76-of-donations-to-parties-by-electoral-trusts-adr/article34923322.ece,NEW DELHI ,"June 23, 2021 14:06 IST"
"Navy, IAF begin passage exercise with U.S. carrier group in Indian Ocean","The Indian Navy and the Air Force began a two-day passage exercise on Wednesday with U.S. Navy Carrier Strike Group Ronald Reagan during its transit through the Indian Ocean Region (IOR). “The Indian Naval warships along with aircraft from Navy and Indian Air Force (IAF) will be engaged in joint multi-domain operations with the U.S. Carrier Strike Group (CSG)...,” the Navy said. The exercise aims to strengthen the bilateral relationship and cooperation by demonstrating the ability to integrate and coordinate comprehensively in maritime operations. “This is what maritime theatre operations would look like. A CSG with integral air power and warships supported by land-based maritime aircraft,” a naval officer said. Naval ships INS Kochi and Teg, along with P-8I long-range maritime patrol aircraft and MiG 29K fighters, are participating in the exercise. For the exercise in the area of responsibility of the Southern Air Command, the IAF forces are operating from bases under four operational commands and include Jaguar and Su-30 MKI fighters, Phalcon and Netra early warning aircraft and IL-78 air to air refueller aircraft, an IAF statement said. The U.S.’s CSG comprises Nimitz class aircraft carrier Ronald Reagan, Arleigh Burke class guided missile destroyer USS Halsey and Ticonderoga class guided missile cruiser USS Shiloh. The U.S. carrier group is expected to field F-18 fighters and E-2C Hawkeye early warning aircraft for the exercise being carried out south of Thiruvananthapuram on the western seaboard. “High tempo operations during the exercise include advanced air defence exercises, cross-deck helicopter operations and anti-submarine exercises. The participating forces will endeavour to hone their war-fighting skills and enhance their interoperability as an integrated force to promote peace, security and stability in the maritime domain,” a Navy statement said. Militaries of India and the U.S. have been holding regular exercises in all domains and even during the COVID-19 pandemic, have held passage exercises. “The exercise with the U.S. CSG will focus on multiple areas, including enhancing aspects of interoperability, nuances of international integrated maritime search and rescue operations and exchange of best practices in the maritime air power domain,” the IAF said. The multi-spectral capability of the IAF in the IOR also includes Humanitarian Assistance and Disaster Relief (HADR) missions and logistics support undertaken in support of friendly nations in the region, it added. ",https://www.thehindu.com/news/national/navy-iaf-begin-passage-exercise-with-us-carrier-group-in-indian-ocean/article34926577.ece,NEW DELHI:,"June 23, 2021 16:18 IST"
"Coronavirus live updates june 23, 2021","About 25.5% of adults in India, 45.1% of those aged above 45 and 48.1% of people aged above 60, were administered with at least one dose of a COVID-19 vaccine, until 8 p.m. on June 22. While 17.5% of the country’s population has received at least one dose, only 3.8% are fully vaccinated. The figures are based on the estimated population in 2021. You can track  cases, deaths and testing rates at the national and State levels . A list of  is available as well. :Vice President M. Venkaiah Naidu said it was heartening to note that three out of five people vaccinated as part of the COVID-19 inoculation drive on June 21 were from rural areas, where the majority of the country's population resides. According to the government, of the , when the revised guidelines for COVID-19 vaccination came into effect, nearly 64 per cent of the jabs were given in rural areas. ""It is heartening to note that 3/5 persons vaccinated in the stepped up drive on Monday were from rural areas, where the majority of population resides. My compliments to the Centre and various states for working in a coordinated manner in a truly 'Team India' spirit,"" the Vice President Secretariat quoted Naidu as saying in a tweet on Wednesday, June 23, 2021. — 

Maharashtra COVID-19 task force member Shashank Joshi on Wednesday said there is no sufficient data available to be alarmed about the 'Delta Plus' variant of coronavirus. 
He also said people need to adhere to COVID-19 prevention guidelines and wear masks, avoid crowds and get vaccinated. Notably, Maharashtra Health Minister Rajesh Tope on Monday said 21 cases of the Delta Plus variant, considered highly infectious, have been found in the state so far, including nine in Ratnagiri, seven in Jalgaon, two in Mumbai, and one case each in Palghar, Thane and Sindhudurg districts. Dr. Joshi in a tweet on Wednesday said, ""Variant of concern, vaccine and Panic. Delta plus variant of concern does not have sufficient data to be alarmed except that we must continue our strict COVID appropriate behaviour with double mask, avoid crowds and continue vaccination.” “Delta plus virulence unknown, transmission may be more,” he added.  India's total tally of COVID-19 cases crossed the three crore mark with one crore infections being added in 50 days. The total tally mounted to 3,00,28,709 with 50,848 new coronavirus infections being reported in a day, while the death toll climbed to 3,90,660 with 1,358 fresh fatalities, according to the Union Health Ministry data updated on Wednesday June 23, 2021. India' total COVID-19 infections had surpassed the one crore mark on December 19 after which it took around 136 days to cross the two crore mark on May 4. According to the data published at 7 am, India administered 54.24 lakh vaccine doses in the last 24 hours taking the cumulative doses to 29.46 crore The active cases further declined to 6,43,194 comprising 2.14 per cent of the total infections, while the national COVID-19 recovery rate has improved to 96.56 per cent, the data updated at 8 am showed.   A net decline of 19,327 cases has been recorded in the COVID-19 caseload in a span of 24 hours. As many as 19,01,056 tests were conducted on Tuesday taking the total cumulative tests conducted so far for detection of COVID-19 in the country to 39,59,73,198. The daily positivity rate was recorded at 2.67 per cent . It has been less than five per cent for 16 consecutive days, the ministry said, adding the weekly positivity rate has declined to   3.12 per cent. — Quick vaccination is key to opening the economy and going back to normal, said Member (Health), NITI Aayog, Dr. V. K. Paul, speaking to DD News, according to a release issued by the Health Ministry on Tuesday. The Ministry said India now aimed to vaccinate at least one crore people a day. 
The highly contagious Delta variant of the coronavirus is the “greatest threat” to America’s attempt to eradicate the , White House Chief Medical Advisor Dr. Anthony Fauci has warned. Speaking at a White House briefing on COVID-19 on Tuesday, Dr. Fauci said the variant, which was first identified in India, now makes up more than 20% of all new cases in the U.S., a significant increase from nearly 10% two weeks ago. 
An application has been filed in the Supreme Court challenging the Central government’s policy to allow 25% of the domestically manufactured COVID-19 vaccines to be procured by private hospitals. 
The Greater Chennai Corporation (GCC) is organising a special vaccination drive on June 23 and 24 for those who missed their second dose of Covaxin. A total of 62,050 Covaxin doses reserved for this initiative would be sent to all GCC vaccination centres. Those who did not get their second dose within the window of four to six weeks could visit the centres to get vaccinated. 
()",https://www.thehindu.com/news/national/coronavirus-live-updates-june-23-2021/article34920915.ece,,"June 23, 2021 09:14 IST"
SC stays Bombay HC verdict on Amravati MP caste certificate,"In a relief to Lok Sabha MP Navneet Kaur Rana, the Supreme Court on Tuesday stayed the Bombay High Court verdict cancelling the caste certificate of the independent lawmaker representing the Amravati constituency, reserved for the Scheduled Castes.  The Bombay High Court had on June 9 cancelled the caste certificate saying it was obtained fraudulently using fabricated documents, and had also imposed a fine of ₹2 lakh on her.  A vacation bench of Justices Vineet Saran and Dinesh Maheshwari took note of the submissions of senior advocate Mukul Rohatgi, appearing for the lawmaker, and issued notices to respondents including the State government, District Caste Scrutiny Committee and social worker Anandra Vithoba Adsul who had challenged the veracity of the certificate. “Issue notice. We will have it for hearing on July 27. Meanwhile, we have stayed the judgment of the Bombay High Court. It is understood that on the next date of hearing the matter will be disposed of,” the bench said.  The court, which proposed to issue notice on Ms. Rana’s appeal and stay the High Court’s judgment at the outset, took note of vehement submission of senior advocate Kapil Sibal, appearing for Mr. Adsul, that the verdict not be stayed without hearing him. “I have a lot more to say,” Mr. Sibal said and referred to various documents to show that the High Court had rightly cancelled the certificate. “So do I,” Mr. Rohatgi said and referred to the fact that the membership to the Lok Sabha is sought to be annulled without filling the election petition. Ms. Rana, backed by the Nationalist Congress Party (NCP), had won from the Amravati constituency in 2019 by claiming to be a member of the Mochi Scheduled Caste. The scrutiny committee had decided her caste status based on original records produced before it and there is a presumption that documents over 30 years old are correct, he said, adding that the genuineness of the documents was not contested. “However, the High Court reversed the scrutiny committee’s decision while hearing a petition under Article 226 [writ petition],” the senior lawyer for Ms. Rana said.  A division bench of the High Court, in its judgement, had asked Ms. Rana to surrender the certificate within six weeks. It had held that Ms. Rana’s claim of belonging to the Mochi caste for obtaining the SC certificate itself was fraudulent and made with the intention of obtaining various benefits available to a candidate from such category, despite knowing she does not belong to that caste. “The application [for caste certificate] was made intentionally to make a fraudulent claim to enable the respondent no.3 [Ms. Rana] to contest the election for the post of MP on a seat reserved for a Scheduled Caste candidate,” the Bombay high court had said in its judgement. “In our view, since respondent no.3 has obtained the caste certificate fraudulently and got it validated fraudulently from the Caste Scrutiny Committee by producing fabricated and fraudulent documents, such caste certificate is cancelled and stands confiscated.”It had also noted the “abysmal” functioning of the scrutiny committee.  The court had passed the order on a petition filed by Mr. Adsule, seeking cancellation of the caste certificate dated August 30, 2013, issued by Mumbai deputy collector. Mr. Adsule filed a complaint with the Mumbai District Caste Certificate Scrutiny Committee, which ruled in Ms. Rana’s favour and validated the certificate. He then approached the High Court.  He contended that Ms. Rana obtained the certificate using forged and fabricated documents.  It was obtained by using the influence of her husband Ravi Rana, who was an MLA, he alleged.  The High Court held that the order passed by the scrutiny committee was “totally perverse, without the application of mind and contrary to the evidence on record”. The bench had noted that the original birth certificate of Ms. Rana did not mention the caste Mochi. ",https://www.thehindu.com/news/national/sc-stays-bombay-hc-verdict-on-amravati-mp-caste-certificate/article34920829.ece,New Delhi,"June 23, 2021 06:36 IST"
India ranked 31 out of 46 countries on level of trust in news,"The Reuters Institute Digital News Report, 2021, to be released virtually on June 23, finds India ranked 31 out of 46 countries on levels of overall trust in news. Only 38% of the respondents from India said they trust news overall. Finland had the highest levels of overall trust in news (65%) while the U.S. had the lowest levels of trust (29%). The 10th edition of the report is based on an online survey of 46 media markets to understand how news is consumed in different countries. This is the first time India features in the main report. The Asian College of Journalism (ACJ) in Chennai collaborated with the Reuters Institute for the Study of Journalism (RISJ) at the University of Oxford on the report. “The ACJ provided support in identifying news brands and other specific details relevant for the Indian market in the survey questionnaire, verifying Hindi translation of the questionnaire, and contextualising the main findings for India in its country profile,” a press release said. The survey shows India is one of the strongest mobile-focused markets, with 73% of the respondents using smartphones to access news. Overall, 82% of the respondents said they source news online, including on social media, with WhatsApp and YouTube being the top go-to platforms. Concerns of rampant misinformation on these platforms were also high. Print media and government broadcasters score high on trust levels in the survey. However, print media suffered heavily from the economic slowdown due to the pandemic with decrease in advertisement revenues and circulation, resulting in job losses and salary cuts. This year’s report focuses on “trust in news, the pandemic induced economic pressure on news publishers, misinformation and COVID-19 and other aspects of digital news consumption among the public,” the release said. ",https://www.thehindu.com/news/national/india-ranked-31-out-of-46-countries-on-level-of-trust-in-news/article34921228.ece,,"June 23, 2021 10:06 IST"
Rajasthan: Independent MLAs supporting Ashok Gehlot govt to meet in Jaipur," Amid a political turmoil in the Rajasthan Congress, a meeting of Independent MLAs supporting the Ashok Gehlot government will be held in Jaipur on June 23. The meeting has been called to discuss the current political situation in the State, the Independent legislators said. However, it is not yet clear whether the six MLAs who had switched over to the Congress from the BSP will attend the meeting. Earlier, there was speculation that the BSP defectors would be a part of the meet. There are 13 Independent MLAs and six BSP MLAs who have joined the Congress in the State. Rajkumar Gaur, an Independent MLA from Ganganagar said, “No meeting was held for a long time, so this has been scheduled. All MLAs will meet and discussions on the current political situation will also take place.” The meeting is being held at a time when the State government has begun making much-awaited political appointments in urban local bodies and is even mulling expansion of the State Cabinet. While the Sachin Pilot camp has been pushing for political appointments and Cabinet expansion, the legislators who came from the BSP have said the Congress high command should “reward those who stood by the government during last year’s political crisis”. Meanwhile, independent MLA Ramkesh Meena on June 22 targeted the former Deputy Chief Minister and legislators supporting him accusing them of trying to topple the State government last year. Talking to reporters, Mr. Meena said, “Those who tried to topple the government while being State president are talking about the interest of party workers. Where else can such an example be seen in the country.” “Out of 13 Independent MLAs, 10-11 are those who have Congress background but were forced to fight as Independents. They won and are with Ashok Gehlot,” Mr. Meena said. He alleged that a conspiracy is being hatched at the behest of the BJP to destabilise the State government. ",https://www.thehindu.com/news/national/rajasthan-independent-mlas-supporting-ashok-gehlot-govt-to-meet-in-jaipur/article34920070.ece,Jaipur,"June 23, 2021 05:48 IST"
